,db1,db2,sp,base_v,choice_probs[0],choice_probs[1],choice_probs[2],choice_probs[3],rt_alpha,rt_beta
db1,0.005172639255106711,0.000431480716435054,0.01299804870692133,-1.8537769747240976e-05,-0.000500385558697495,-0.000469182166048218,0.00045685345026041794,0.0005127142744852951,-1.8537769747241572e-05,-1.8537769747240976e-05
db2,0.000431480716435054,0.005335655310450967,0.005001029345382387,-0.0001424481553927873,-0.000539102387956309,0.0005054933391996816,-0.0005371511305976699,0.0005707601793542977,-0.0001424481553927875,-0.0001424481553927873
sp,0.01299804870692133,0.005001029345382387,0.24161772365951437,-0.0002655235807312519,2.1078180712282864e-06,0.00013115791123662613,-0.00013786164933796437,4.5959200301100105e-06,-0.000265523580731249,-0.0002655235807312519
base_v,-1.8537769747240976e-05,-0.0001424481553927873,-0.0002655235807312519,0.017597204728558035,2.9706726207395684e-05,-1.1139366262980986e-05,1.767984272167132e-05,-3.624720266608563e-05,0.01759720472855803,0.017597204728558035
choice_probs[0],-0.000500385558697495,-0.000539102387956309,2.1078180712282864e-06,2.9706726207395684e-05,0.0001294740465901011,1.1101186642018214e-06,3.975956495954681e-06,-0.00013456012175025765,2.9706726207395786e-05,2.9706726207395684e-05
choice_probs[1],-0.000469182166048218,0.0005054933391996816,0.00013115791123662613,-1.1139366262980986e-05,1.1101186642018214e-06,0.00012564232727637896,-0.00012765283310149967,9.003871609188943e-07,-1.1139366262981017e-05,-1.1139366262980986e-05
choice_probs[2],0.00045685345026041794,-0.0005371511305976699,-0.00013786164933796437,1.767984272167132e-05,3.975956495954681e-06,-0.00012765283310149967,0.00013019550222943395,-6.518625623888935e-06,1.767984272167143e-05,1.767984272167132e-05
choice_probs[3],0.0005127142744852951,0.0005707601793542977,4.5959200301100105e-06,-3.624720266608563e-05,-0.00013456012175025765,9.003871609188943e-07,-6.518625623888935e-06,0.00014017836021322768,-3.624720266608574e-05,-3.624720266608563e-05
rt_alpha,-1.8537769747241572e-05,-0.0001424481553927875,-0.000265523580731249,0.01759720472855803,2.9706726207395786e-05,-1.1139366262981017e-05,1.767984272167143e-05,-3.624720266608574e-05,0.017597204728558035,0.017597204728558035
rt_beta,-1.8537769747240976e-05,-0.0001424481553927873,-0.0002655235807312519,0.017597204728558035,2.9706726207395684e-05,-1.1139366262980986e-05,1.767984272167132e-05,-3.624720266608563e-05,0.017597204728558035,0.01759720472855803
