,db1,db2,sp,base_v,choice_probs[0],choice_probs[1],choice_probs[2],choice_probs[3],rt_alpha,rt_beta
db1,1.0,0.373337043609814,-0.5861613437764036,0.05806276489369272,-0.29589824361810246,-0.5020571256338932,0.5598746342192367,0.2962961466793834,0.05806276489369272,0.05806276489369272
db2,0.373337043609814,1.0,-0.5880999567572018,0.06635680967308502,-0.3188251782202724,0.5391072438629668,-0.4822602599221668,0.31886353898079733,0.06635680967308497,0.06635680967308502
sp,-0.5861613437764036,-0.5880999567572018,0.9999999999999998,-0.062301306183992364,-0.3270293112081493,0.055186445390490994,0.00218411636272344,0.33086885244345193,-0.062301306183992274,-0.062301306183992364
base_v,0.05806276489369273,0.06635680967308502,-0.06230130618399236,1.0,0.00261109666395047,0.021164194794957923,-0.023201074533530222,-0.0011077930829460122,1.0,1.0
choice_probs[0],-0.29589824361810246,-0.31882517822027245,-0.3270293112081493,0.00261109666395047,1.0,-0.12627589156346508,-0.061404337737592025,-0.9991301111769204,0.0026110966639504127,0.00261109666395047
choice_probs[1],-0.5020571256338933,0.5391072438629668,0.055186445390491,0.021164194794957923,-0.12627589156346505,1.0,-0.9815836640517577,0.12614319644940825,0.021164194794957895,0.021164194794957923
choice_probs[2],0.5598746342192368,-0.4822602599221668,0.00218411636272344,-0.023201074533530226,-0.06140433773759203,-0.9815836640517576,1.0,0.05971605972029701,-0.0232010745335302,-0.023201074533530226
choice_probs[3],0.2962961466793834,0.31886353898079733,0.3308688524434519,-0.0011077930829460122,-0.9991301111769204,0.12614319644940822,0.05971605972029702,0.9999999999999998,-0.0011077930829459706,-0.0011077930829460122
rt_alpha,0.05806276489369273,0.06635680967308498,-0.06230130618399228,1.0,0.0026110966639504123,0.021164194794957895,-0.023201074533530198,-0.0011077930829459706,1.0,1.0
rt_beta,0.05806276489369273,0.06635680967308502,-0.06230130618399236,1.0,0.00261109666395047,0.021164194794957923,-0.023201074533530222,-0.0011077930829460122,1.0,1.0
