,db1,db2,sp,base_v,choice_probs[0],choice_probs[1],choice_probs[2],choice_probs[3],rt_alpha,rt_beta
db1,0.0023807895731554414,0.001541347269363016,0.002914869889281387,-0.000242443432298184,6.786854527289759e-06,-4.21631771665306e-05,5.756562891559157e-05,-2.218930627635074e-05,-0.00024244343229818435,-0.000242443432298184
db2,0.001541347269363016,0.0016314660917754853,0.002248846575123485,-0.00030218793280023103,-2.4318711805837976e-05,0.00020200144439970873,-0.0002641518834020094,8.646915080813858e-05,-0.0003021879328002315,-0.00030218793280023103
sp,0.002914869889281387,0.002248846575123485,0.004246361412125826,-0.0004256378888544124,0.00014928022730809304,0.00018496959893595646,-6.121534426595713e-05,-0.0002730344819780924,-0.00042563788885441274,-0.0004256378888544124
base_v,-0.000242443432298184,-0.00030218793280023103,-0.0004256378888544124,0.013804076518653738,-8.654412021616295e-06,-4.825366641273501e-05,4.507875920899485e-05,1.1829319225356569e-05,0.013804076518653736,0.013804076518653738
choice_probs[0],6.786854527289759e-06,-2.4318711805837976e-05,0.00014928022730809304,-8.654412021616295e-06,5.639363905685788e-05,2.6095895113565304e-05,2.8564808469290693e-05,-0.00011105434263971388,-8.654412021616277e-06,-8.654412021616295e-06
choice_probs[1],-4.21631771665306e-05,0.00020200144439970873,0.00018496959893595646,-4.825366641273501e-05,2.6095895113565304e-05,0.00011221771907654469,-0.00010544503205536515,-3.2868582134744825e-05,-4.8253666412734986e-05,-4.825366641273501e-05
choice_probs[2],5.756562891559157e-05,-0.0002641518834020094,-6.121534426595713e-05,4.507875920899485e-05,2.8564808469290693e-05,-0.00010544503205536515,0.00015566242506071342,-7.878220147463894e-05,4.507875920899486e-05,4.507875920899485e-05
choice_probs[3],-2.218930627635074e-05,8.646915080813858e-05,-0.0002730344819780924,1.1829319225356569e-05,-0.00011105434263971388,-3.2868582134744825e-05,-7.878220147463894e-05,0.00022270512624909765,1.1829319225356543e-05,1.1829319225356569e-05
rt_alpha,-0.00024244343229818435,-0.0003021879328002315,-0.00042563788885441274,0.013804076518653736,-8.654412021616277e-06,-4.8253666412734986e-05,4.507875920899486e-05,1.1829319225356543e-05,0.013804076518653735,0.013804076518653736
rt_beta,-0.000242443432298184,-0.00030218793280023103,-0.0004256378888544124,0.013804076518653738,-8.654412021616295e-06,-4.825366641273501e-05,4.507875920899485e-05,1.1829319225356569e-05,0.013804076518653736,0.013804076518653736
