,db1,db2,sp,base_v,choice_probs[0],choice_probs[1],choice_probs[2],choice_probs[3],rt_alpha,rt_beta
db1,0.003144900821197053,-0.001271188181527912,-0.006114258112355606,0.0017229155396247943,-0.0004699205797103833,-0.0002645616563367116,0.00016415280903354243,0.0005703294270135526,0.0017229155396247943,0.0017229155396247943
db2,-0.001271188181527912,0.003247112781422354,0.008447028811763024,-0.00051181475002665,-0.00010577534366594083,1.651677862639641e-05,-2.0548876089233207e-05,0.00010980744112877793,-0.0005118147500266496,-0.00051181475002665
sp,-0.006114258112355606,0.008447028811763024,0.03685426092482546,-0.004286815086821712,0.000775301242947374,-0.0009085020824459315,0.0007556707055102757,-0.0006224698660117166,-0.004286815086821713,-0.004286815086821712
base_v,0.0017229155396247943,-0.00051181475002665,-0.004286815086821712,0.08069525355100064,-0.00030286428503973397,-4.464771135172565e-05,-2.6544057230692264e-07,0.00034777743696376683,0.08069525355100066,0.08069525355100064
choice_probs[0],-0.0004699205797103833,-0.00010577534366594083,0.000775301242947374,-0.00030286428503973397,0.00013547647859698798,-4.41018830908551e-06,1.4456760644026911e-05,-0.00014552305093192938,-0.000302864285039734,-0.00030286428503973397
choice_probs[1],-0.0002645616563367116,1.651677862639641e-05,-0.0009085020824459315,-4.464771135172565e-05,-4.41018830908551e-06,0.00016671206422394722,-0.00012655241032624324,-3.5749465588618494e-05,-4.4647711351725674e-05,-4.464771135172565e-05
choice_probs[2],0.00016415280903354243,-2.0548876089233207e-05,0.0007556707055102757,-2.6544057230692264e-07,1.4456760644026911e-05,-0.00012655241032624324,9.726175219560688e-05,1.483389748660952e-05,-2.654405723068601e-07,-2.6544057230692264e-07
choice_probs[3],0.0005703294270135526,0.00010980744112877793,-0.0006224698660117166,0.00034777743696376683,-0.00014552305093192938,-3.5749465588618494e-05,1.483389748660952e-05,0.00016643861903393838,0.0003477774369637667,0.00034777743696376683
rt_alpha,0.0017229155396247943,-0.0005118147500266496,-0.004286815086821713,0.08069525355100066,-0.000302864285039734,-4.4647711351725674e-05,-2.654405723068601e-07,0.0003477774369637667,0.08069525355100064,0.08069525355100066
rt_beta,0.0017229155396247943,-0.00051181475002665,-0.004286815086821712,0.08069525355100064,-0.00030286428503973397,-4.464771135172565e-05,-2.6544057230692264e-07,0.00034777743696376683,0.08069525355100066,0.08069525355100064
