parameter,standard_deviation
db1,0.07386153161451366
db2,0.07851281156611672
sp,0.5648243193473313
base_v,0.08333594963908704
choice_probs[0],0.012188761734563798
choice_probs[1],0.011484541048200856
choice_probs[2],0.011946190641981125
choice_probs[3],0.011900094307989571
rt_alpha,0.08333594963908714
rt_beta,0.08333594963908704
