parameter,standard_deviation
db1,0.05605136858610912
db2,0.05695494419838312
sp,0.1918786248228306
base_v,0.28392702988171054
choice_probs[0],0.01163361517836958
choice_probs[1],0.012905245141403683
choice_probs[2],0.009857205001592049
choice_probs[3],0.012894657049138789
rt_alpha,0.2839270298817105
rt_beta,0.28392702988171054
