parameter,standard_deviation
db1,0.06979932996827627
db2,0.07701807182918255
sp,0.39497795379518585
base_v,0.10911753891470076
choice_probs[0],0.012477235016781205
choice_probs[1],0.01185148951730001
choice_probs[2],0.01198065224070303
choice_probs[3],0.01064014657425391
rt_alpha,0.10911753891470068
rt_beta,0.10911753891470076
