,db1,db2,sp,base_v,choice_probs[0],choice_probs[1],choice_probs[2],choice_probs[3],rt_alpha,rt_beta
db1,0.004876823287307635,0.0019827934399389868,-0.015562316474279934,0.001118947476802128,-0.0003017266503082169,-0.0004088241156274465,0.0004587724331851305,0.00025177833275053283,0.001118947476802128,0.001118947476802128
db2,0.0019827934399389868,0.005937721109394527,-0.020918087740693495,0.0012335449528967691,-0.00026183535598000315,0.000481863086858426,-0.0004495622163630598,0.00022953448548463694,0.0012335449528967696,0.0012335449528967691
sp,-0.015562316474279934,-0.020918087740693495,0.1561637477319639,-0.008028126250906613,-0.0012371311417152808,-8.342095916113074e-06,0.00018146262985971256,0.001064010607771681,-0.008028126250906611,-0.008028126250906613
base_v,0.001118947476802128,0.0012335449528967691,-0.008028126250906613,0.011918555854655902,4.2419826451505364e-05,-3.3408943341984696e-05,2.961911886692083e-05,-3.863000197644164e-05,0.011918555854655902,0.011918555854655902
choice_probs[0],-0.0003017266503082169,-0.00026183535598000315,-0.0012371311417152808,4.2419826451505364e-05,0.0001558372308948862,-1.4920329109672594e-05,-8.190400264894682e-06,-0.00013272650152031898,4.2419826451505384e-05,4.2419826451505364e-05
choice_probs[1],-0.0004088241156274465,0.000481863086858426,-8.342095916113074e-06,-3.3408943341984696e-05,-1.4920329109672594e-05,0.00014059840218085285,-0.00014028391849015692,1.4605845418976633e-05,-3.340894334198469e-05,-3.3408943341984696e-05
choice_probs[2],0.0004587724331851305,-0.0004495622163630598,0.00018146262985971256,2.961911886692083e-05,-8.190400264894682e-06,-0.00014028391849015692,0.00014367970782048294,4.794610934568636e-06,2.9619118866920808e-05,2.961911886692083e-05
choice_probs[3],0.00025177833275053283,0.00022953448548463694,0.001064010607771681,-3.863000197644164e-05,-0.00013272650152031898,1.4605845418976633e-05,4.794610934568636e-06,0.00011332604516677376,-3.863000197644163e-05,-3.863000197644164e-05
rt_alpha,0.001118947476802128,0.0012335449528967696,-0.008028126250906611,0.011918555854655902,4.2419826451505384e-05,-3.340894334198469e-05,2.9619118866920808e-05,-3.863000197644163e-05,0.011918555854655902,0.0119185558546559
rt_beta,0.001118947476802128,0.0012335449528967691,-0.008028126250906613,0.011918555854655902,4.2419826451505364e-05,-3.3408943341984696e-05,2.961911886692083e-05,-3.863000197644164e-05,0.0119185558546559,0.011918555854655902
