parameter,standard_deviation
db1,0.06779659062434897
db2,0.07127517017768971
sp,0.37444083074155093
base_v,0.1695231036864052
choice_probs[0],0.011050590803189814
choice_probs[1],0.012073145286529887
choice_probs[2],0.010854082344509033
choice_probs[3],0.01211606100428077
rt_alpha,0.16952310368640514
rt_beta,0.1695231036864052
