subject_id,parameter,mean,std,median,q025,q975,parameter_type
37,db1,0.662691320218036,0.03641182269626647,0.6611981832392542,0.5958615106379243,0.7444128954444309,scalar
37,db2,0.7415383425645766,0.04184193236835236,0.7480416752188817,0.6558432949615545,0.7983450675887789,scalar
37,sp,0.23751966163511803,0.04539047277361544,0.23922697695898934,0.15187634887090679,0.32024502945192274,scalar
37,base_v,1.2636103867162953,0.06470740082226056,1.2637983842853902,1.130277975095746,1.3841305319938295,scalar
37,choice_probs[0],0.08874643905022228,0.007595170376644456,0.08854445912770613,0.07567999151179614,0.10615170245511385,vector_element
37,choice_probs[1],0.24650608948611674,0.014409782242907487,0.24660802819382835,0.21815599051927834,0.2742762609008224,vector_element
37,choice_probs[2],0.17594808868447373,0.01220296990226898,0.17524439317980028,0.15291803512193003,0.20117406356694123,vector_element
37,choice_probs[3],0.4887993827791872,0.01768407081359078,0.4888263618644165,0.4517151547561988,0.5215390768401723,vector_element
37,rt_alpha,2.2636103867162953,0.06470740082226056,2.26379838428539,2.130277975095746,2.3841305319938297,scalar
37,rt_beta,1.2636103867162953,0.06470740082226056,1.2637983842853902,1.130277975095746,1.3841305319938295,scalar
