subject_id,parameter,mean,std,median,q025,q975,parameter_type
33,db1,0.5430446639708167,0.06937912401193252,0.5322398630325716,0.41118206722317674,0.6980933904464183,scalar
33,db2,0.5985873162134165,0.07481077871331133,0.5853300427861967,0.4830438749178916,0.7764304118886826,scalar
33,sp,0.9425688949826411,0.45219038225939046,0.8792912956115977,0.22237775996732992,2.0103049684852383,scalar
33,base_v,2.9249592381597997,0.13087556177751364,2.9213503279249453,2.6741256004218545,3.1966540049359278,scalar
33,choice_probs[0],0.2314925931956272,0.010213689519466237,0.23131934070404453,0.2118236506002626,0.2525810016464512,vector_element
33,choice_probs[1],0.2573581885085871,0.011689332510439434,0.25720923997676703,0.23579185049952603,0.28261210400151426,vector_element
33,choice_probs[2],0.24208936507006626,0.011237739315707679,0.24193213541223796,0.21841795875246778,0.2625559254808473,vector_element
33,choice_probs[3],0.26905985322571946,0.011044148619431033,0.26895375584127634,0.24733780642086048,0.29119940249360166,vector_element
33,rt_alpha,3.9249592381597997,0.13087556177751364,3.9213503279249453,3.6741256004218545,4.196654004935928,scalar
33,rt_beta,2.9249592381597997,0.13087556177751364,2.9213503279249453,2.6741256004218545,3.1966540049359278,scalar
