,db1,db2,sp,base_v,choice_probs[0],choice_probs[1],choice_probs[2],choice_probs[3],rt_alpha,rt_beta
db1,0.9999999999999998,0.12497858180589416,0.3255445425906471,0.007744084344577682,-0.6069957724541735,-0.6969335755516181,0.6578829621557096,0.629585645072078,0.00774408434457771,0.007744084344577682
db2,0.12497858180589418,0.9999999999999998,0.5721461008783831,-0.009713014957557014,-0.5001097886476887,0.4876449163871492,-0.5249858128194645,0.4805600163502707,-0.009713014957557012,-0.009713014957557014
sp,0.3255445425906471,0.5721461008783831,0.9999999999999999,-0.00463423831056626,0.006840941755452072,-0.051469595404303535,0.0523810417163169,-0.005149381279184647,-0.004634238310566207,-0.00463423831056626
base_v,0.0077440843445776815,-0.009713014957557014,-0.00463423831056626,1.0,-0.0030427268646346086,-0.005703694616437981,0.003374837007647655,0.005416833287380449,1.0,1.0
choice_probs[0],-0.6069957724541736,-0.5001097886476887,0.006840941755452072,-0.0030427268646346086,0.9999999999999998,0.09068457249034663,-0.02215858900612022,-0.9982407493703422,-0.0030427268646346485,-0.0030427268646346086
choice_probs[1],-0.6969335755516181,0.4876449163871492,-0.05146959540430353,-0.005703694616437981,0.09068457249034663,1.0,-0.996640503541322,-0.12817379198409187,-0.005703694616438011,-0.005703694616437981
choice_probs[2],0.6578829621557096,-0.5249858128194644,0.0523810417163169,0.003374837007647655,-0.02215858900612022,-0.9966405035413219,1.0,0.057826446733337915,0.003374837007647653,0.003374837007647655
choice_probs[3],0.6295856450720779,0.4805600163502706,-0.005149381279184648,0.005416833287380449,-0.9982407493703421,-0.12817379198409187,0.05782644673333792,1.0,0.0054168332873805024,0.005416833287380449
rt_alpha,0.007744084344577709,-0.00971301495755701,-0.004634238310566207,1.0,-0.003042726864634649,-0.005703694616438011,0.0033748370076476524,0.005416833287380503,1.0,1.0
rt_beta,0.0077440843445776815,-0.009713014957557014,-0.00463423831056626,1.0,-0.0030427268646346086,-0.005703694616437981,0.003374837007647655,0.005416833287380449,1.0,1.0
