,db1,db2,sp,base_v,choice_probs[0],choice_probs[1],choice_probs[2],choice_probs[3],rt_alpha,rt_beta
db1,1.0,0.7820796139271848,0.9167484634709405,-0.042290832932606694,0.0185222172723836,-0.08157218675273749,0.09456073774605324,-0.030473203500611487,-0.04229083293260676,-0.0422908329326067
db2,0.7820796139271847,0.9999999999999998,0.8544021331228041,-0.06367726662192408,-0.08017454057294249,0.4721007935047996,-0.524170758442613,0.14345214980593632,-0.06367726662192419,-0.06367726662192408
sp,0.9167484634709405,0.8544021331228041,1.0,-0.055594025778059525,0.3050554232261324,0.26795456423585146,-0.07529392254177579,-0.28076561165574315,-0.05559402577805959,-0.05559402577805953
base_v,-0.042290832932606694,-0.06367726662192406,-0.05559402577805953,0.9999999999999999,-0.009808866600124673,-0.03877001062245954,0.03075221331997795,0.0067466932693389155,1.0,1.0
choice_probs[0],0.0185222172723836,-0.08017454057294249,0.3050554232261324,-0.009808866600124673,1.0,0.32803971013501926,0.3048767879361047,-0.9909582980582295,-0.009808866600124656,-0.009808866600124675
choice_probs[1],-0.08157218675273749,0.4721007935047996,0.2679545642358515,-0.03877001062245954,0.32803971013501926,0.9999999999999999,-0.7978174088528119,-0.20791467548891396,-0.038770010622459536,-0.03877001062245955
choice_probs[2],0.09456073774605324,-0.524170758442613,-0.07529392254177579,0.030752213319977947,0.3048767879361046,-0.7978174088528119,1.0,-0.42312736122537264,0.03075221331997796,0.03075221331997795
choice_probs[3],-0.030473203500611487,0.14345214980593632,-0.28076561165574315,0.0067466932693389155,-0.9909582980582295,-0.20791467548891396,-0.42312736122537264,0.9999999999999999,0.0067466932693389025,0.006746693269338916
rt_alpha,-0.04229083293260676,-0.06367726662192419,-0.05559402577805958,1.0,-0.009808866600124656,-0.038770010622459536,0.030752213319977958,0.0067466932693389025,1.0,1.0
rt_beta,-0.0422908329326067,-0.06367726662192408,-0.05559402577805954,1.0,-0.009808866600124675,-0.03877001062245955,0.03075221331997795,0.006746693269338916,1.0,1.0
