,db1,db2,sp,base_v,choice_probs[0],choice_probs[1],choice_probs[2],choice_probs[3],rt_alpha,rt_beta
db1,1.0,0.6118742071433865,-0.8099946073397211,0.0420418709636052,-0.06366436881310741,-0.09442033894714291,0.11848396238123106,0.071755306510789,0.042041870963605225,0.0420418709636052
db2,0.6118742071433866,1.0,-0.7428878394168578,0.021022000666040923,-0.21438658509436556,0.69947340988469,-0.6338927006652743,0.16885149707162814,0.021022000666041016,0.021022000666040923
sp,-0.8099946073397211,-0.7428878394168578,1.0,-0.042334371106015185,-0.3361218940910373,-0.2244878936276522,0.34943723869531224,0.3569037801419612,-0.04233437110601523,-0.042334371106015185
base_v,0.0420418709636052,0.021022000666040923,-0.042334371106015185,1.0,0.0028894335134014948,-0.015207440009948262,0.01553432480356968,-0.0031314328745408195,1.0,1.0
choice_probs[0],-0.06366436881310741,-0.21438658509436556,-0.3361218940910374,0.0028894335134014943,1.0,-0.2170944302314812,-0.14320923923389928,-0.9962555097118325,0.0028894335134015572,0.0028894335134014943
choice_probs[1],-0.09442033894714291,0.69947340988469,-0.22448789362765217,-0.01520744000994826,-0.21709443023148123,1.0,-0.934129935246499,0.1457205206871572,-0.015207440009948161,-0.01520744000994826
choice_probs[2],0.11848396238123106,-0.6338927006652743,0.34943723869531224,0.015534324803569682,-0.14320923923389928,-0.934129935246499,1.0,0.21215785517541896,0.015534324803569562,0.015534324803569682
choice_probs[3],0.071755306510789,0.16885149707162814,0.3569037801419612,-0.0031314328745408195,-0.9962555097118324,0.1457205206871572,0.21215785517541894,1.0,-0.0031314328745408663,-0.0031314328745408195
rt_alpha,0.04204187096360522,0.02102200066604102,-0.04233437110601523,1.0,0.0028894335134015572,-0.015207440009948163,0.015534324803569562,-0.0031314328745408663,1.0,1.0
rt_beta,0.0420418709636052,0.021022000666040923,-0.042334371106015185,1.0,0.0028894335134014948,-0.015207440009948262,0.01553432480356968,-0.0031314328745408195,1.0,1.0
