,db1,db2,sp,base_v,choice_probs[0],choice_probs[1],choice_probs[2],choice_probs[3],rt_alpha,rt_beta
db1,0.004220153118596298,-0.000915919181842353,0.008227888750478508,6.117368400510464e-05,-0.00044991010079436996,-0.0004144225327377338,0.00046241614757741426,0.0004019164859546895,6.117368400510464e-05,6.117368400510464e-05
db2,-0.000915919181842353,0.004794553081575872,-0.013835060860703586,0.0004414064311086217,-0.0003757843259408167,0.0003943067373787599,-0.0004204443587809319,0.00040192194734298874,0.0004414064311086217,0.0004414064311086217
sp,0.008227888750478508,-0.013835060860703586,0.17704439972812044,-0.0036173990528170505,-0.00019251201121091435,0.0006232616196012748,-0.0006695420458546806,0.00023879243746432015,-0.0036173990528170505,-0.0036173990528170505
base_v,6.117368400510464e-05,0.0004414064311086217,-0.0036173990528170505,0.01132957517383176,-4.3219376974823584e-05,-6.707125865970913e-06,8.48348498218768e-06,4.144301785860696e-05,0.01132957517383176,0.01132957517383176
choice_probs[0],-0.00044991010079436996,-0.0003757843259408167,-0.00019251201121091435,-4.3219376974823584e-05,0.00011614372811027973,2.604194645203903e-06,-5.7754873459766385e-06,-0.00011297243540950698,-4.3219376974823584e-05,-4.3219376974823584e-05
choice_probs[1],-0.0004144225327377338,0.0003943067373787599,0.0006232616196012748,-6.707125865970913e-06,2.604194645203903e-06,0.00011711529008267622,-0.00012763173211287085,7.912247384990775e-06,-6.707125865970913e-06,-6.707125865970913e-06
choice_probs[2],0.00046241614757741426,-0.0004204443587809319,-0.0006695420458546806,8.48348498218768e-06,-5.7754873459766385e-06,-0.00012763173211287085,0.00013940156007891444,-5.994340620066989e-06,8.48348498218768e-06,8.48348498218768e-06
choice_probs[3],0.0004019164859546895,0.00040192194734298874,0.00023879243746432015,4.144301785860696e-05,-0.00011297243540950698,7.912247384990775e-06,-5.994340620066989e-06,0.00011105452864458324,4.144301785860696e-05,4.144301785860696e-05
rt_alpha,6.117368400510464e-05,0.0004414064311086217,-0.0036173990528170505,0.01132957517383176,-4.3219376974823584e-05,-6.707125865970913e-06,8.48348498218768e-06,4.144301785860696e-05,0.011329575173831758,0.011329575173831758
rt_beta,6.117368400510464e-05,0.0004414064311086217,-0.0036173990528170505,0.01132957517383176,-4.3219376974823584e-05,-6.707125865970913e-06,8.48348498218768e-06,4.144301785860696e-05,0.011329575173831758,0.011329575173831758
