,db1,db2,sp,base_v,choice_probs[0],choice_probs[1],choice_probs[2],choice_probs[3],rt_alpha,rt_beta
db1,1.0,0.3880349958983548,0.5442295913784226,-0.0008229832445896624,-0.3236491314212925,-0.7351196754601587,0.6671302907912094,0.3727694861662288,-0.0008229832445896429,-0.0008229832445896624
db2,0.3880349958983548,1.0,0.7385514791375278,-0.06993929365938452,-0.14260459712519158,0.22749871278436787,-0.2537567148043861,0.1248242177850923,-0.06993929365938452,-0.06993929365938452
sp,0.5442295913784226,0.7385514791375278,1.0,-0.06975273117298382,0.3463595639371417,-0.20456698205465948,0.2703488819324003,-0.32775941696738153,-0.0697527311729838,-0.06975273117298382
base_v,-0.0008229832445896625,-0.06993929365938453,-0.0697527311729838,0.9999999999999998,-0.06368427774279876,-0.032026888769346534,0.017296495938956068,0.0671896517498926,0.9999999999999996,0.9999999999999998
choice_probs[0],-0.3236491314212925,-0.14260459712519158,0.34635956393714173,-0.06368427774279876,0.9999999999999998,0.04499201951890235,0.1540369950575603,-0.9960884178673091,-0.06368427774279878,-0.06368427774279876
choice_probs[1],-0.7351196754601587,0.22749871278436787,-0.20456698205465945,-0.032026888769346534,0.04499201951890235,0.9999999999999999,-0.9788903425183436,-0.12106952068556624,-0.032026888769346534,-0.032026888769346534
choice_probs[2],0.6671302907912094,-0.25375671480438605,0.2703488819324003,0.017296495938956068,0.1540369950575603,-0.9788903425183435,0.9999999999999999,-0.08031695014819588,0.017296495938956057,0.017296495938956068
choice_probs[3],0.3727694861662288,0.1248242177850923,-0.32775941696738153,0.06718965174989258,-0.996088417867309,-0.12106952068556626,-0.08031695014819588,1.0,0.06718965174989258,0.06718965174989258
rt_alpha,-0.000822983244589643,-0.06993929365938453,-0.06975273117298379,0.9999999999999996,-0.06368427774279878,-0.032026888769346534,0.017296495938956057,0.0671896517498926,0.9999999999999998,0.9999999999999998
rt_beta,-0.0008229832445896625,-0.06993929365938453,-0.0697527311729838,0.9999999999999998,-0.06368427774279876,-0.032026888769346534,0.017296495938956068,0.0671896517498926,0.9999999999999998,0.9999999999999998
