parameter,standard_deviation
db1,0.03993501884033859
db2,0.05181527096325271
sp,0.10309425737387437
base_v,0.31189030770359355
choice_probs[0],0.010559448675913841
choice_probs[1],0.013313077302960457
choice_probs[2],0.008776937888774369
choice_probs[3],0.012425185739976374
rt_alpha,0.31189030770359333
rt_beta,0.31189030770359355
