parameter,standard_deviation
db1,0.04876893256554102
db2,0.04037121035693269
sp,0.06513152117610724
base_v,0.11743199071009172
choice_probs[0],0.007505814107596924
choice_probs[1],0.010587988541619605
choice_probs[2],0.01247023506737754
choice_probs[3],0.014915844633236447
rt_alpha,0.11743199071009178
rt_beta,0.11743199071009172
