,db1,db2,sp,base_v,choice_probs[0],choice_probs[1],choice_probs[2],choice_probs[3],rt_alpha,rt_beta
db1,0.9999999999999998,-0.029049899319514967,-0.013726382940049362,0.03547025845337568,-0.6134742009855565,-0.6295319436278366,0.6457963914633883,0.5996090317700669,0.035470258453375696,0.03547025845337569
db2,-0.02904989931951497,1.0,-0.20763181822384058,-0.031781838908088146,-0.624686920329081,0.6602685721597719,-0.6440108315363415,0.6373950035131563,-0.03178183890808806,-0.031781838908088146
sp,-0.013726382940049364,-0.20763181822384058,0.9999999999999999,0.04323627240455665,-0.040008183141491314,0.04261233152843544,-0.04100112519988001,0.04023203199937221,0.043236272404556644,0.04323627240455666
base_v,0.03547025845337568,-0.031781838908088146,0.04323627240455665,0.9999999999999999,-0.01359465171584179,-0.026699634940107953,0.031644226298358315,0.008228836069095935,0.9999999999999998,1.0
choice_probs[0],-0.6134742009855564,-0.624686920329081,-0.040008183141491314,-0.01359465171584179,1.0,-0.06545377846691952,0.03800361513748979,-0.9986540550797105,-0.013594651715841816,-0.013594651715841791
choice_probs[1],-0.6295319436278366,0.6602685721597719,0.04261233152843544,-0.026699634940107953,-0.06545377846691951,0.9999999999999999,-0.9985919428353982,0.08605591523851469,-0.026699634940107905,-0.026699634940107957
choice_probs[2],0.6457963914633883,-0.6440108315363415,-0.04100112519988001,0.03164422629835832,0.03800361513748979,-0.9985919428353983,1.0,-0.060809813564583086,0.03164422629835829,0.03164422629835832
choice_probs[3],0.5996090317700669,0.6373950035131563,0.04023203199937221,0.008228836069095937,-0.9986540550797105,0.08605591523851469,-0.060809813564583086,1.0,0.008228836069095965,0.008228836069095937
rt_alpha,0.035470258453375696,-0.03178183890808806,0.043236272404556644,0.9999999999999998,-0.013594651715841816,-0.026699634940107908,0.03164422629835829,0.008228836069095965,0.9999999999999999,0.9999999999999999
rt_beta,0.03547025845337569,-0.031781838908088146,0.04323627240455666,1.0,-0.013594651715841791,-0.026699634940107953,0.03164422629835832,0.008228836069095937,0.9999999999999999,1.0
