,db1,db2,sp,base_v,choice_probs[0],choice_probs[1],choice_probs[2],choice_probs[3],rt_alpha,rt_beta
db1,0.9999999999999998,0.7685807884931335,0.8452535510392555,0.11629818112411558,-0.16306642994572657,-0.5223403278437558,0.38725647010191727,0.24321054821652363,0.11629818112411565,0.11629818112411558
db2,0.7685807884931334,1.0,0.9119716742155,0.12734541008105574,-0.10128262245577262,0.12035782135334572,-0.18553908051620918,0.07510279452653842,0.1273454100810557,0.12734541008105574
sp,0.8452535510392554,0.9119716742155,1.0,0.12278359338668732,0.20883709525066957,-0.048597083066894094,0.18767816014152208,-0.1863066804691845,0.12278359338668743,0.12278359338668732
base_v,0.11629818112411558,0.12734541008105574,0.12278359338668732,1.0,-0.013123667923797225,-0.005432402095116847,-0.004934033820234285,0.014055306213991795,0.9999999999999998,1.0
choice_probs[0],-0.16306642994572657,-0.10128262245577262,0.2088370952506696,-0.013123667923797223,1.0,0.288534936527896,0.40501530254894785,-0.9851151183381603,-0.01312366792379722,-0.013123667923797223
choice_probs[1],-0.5223403278437558,0.12035782135334572,-0.0485970830668941,-0.005432402095116847,0.288534936527896,0.9999999999999999,-0.7567759411699941,-0.4439989231618089,-0.005432402095116865,-0.005432402095116847
choice_probs[2],0.3872564701019172,-0.18553908051620918,0.1876781601415221,-0.004934033820234285,0.40501530254894785,-0.7567759411699941,1.0,-0.24915327793560083,-0.004934033820234259,-0.004934033820234285
choice_probs[3],0.24321054821652363,0.07510279452653844,-0.18630668046918447,0.014055306213991795,-0.9851151183381603,-0.4439989231618089,-0.24915327793560083,0.9999999999999999,0.014055306213991791,0.014055306213991795
rt_alpha,0.11629818112411565,0.1273454100810557,0.12278359338668741,0.9999999999999998,-0.013123667923797218,-0.005432402095116865,-0.004934033820234259,0.014055306213991791,1.0,1.0
rt_beta,0.11629818112411558,0.12734541008105574,0.12278359338668732,1.0,-0.013123667923797225,-0.005432402095116847,-0.004934033820234285,0.014055306213991795,1.0,1.0
