parameter,standard_deviation
db1,0.03361568103690619
db2,0.04355743950637829
sp,0.047107598408970296
base_v,0.13087780783127342
choice_probs[0],0.006778374981545132
choice_probs[1],0.012683631362091663
choice_probs[2],0.01057672379934637
choice_probs[3],0.014944223743061969
rt_alpha,0.13087780783127345
rt_beta,0.13087780783127342
