,db1,db2,sp,base_v,choice_probs[0],choice_probs[1],choice_probs[2],choice_probs[3],rt_alpha,rt_beta
db1,1.0,-0.5795441899716661,0.8594340221338878,-0.14002007586274243,-0.32584065059250406,-0.3564203813590847,0.3377052051517644,0.25646500506608405,-0.14002007586274212,-0.14002007586274243
db2,-0.5795441899716661,1.0,-0.6690746176986901,0.0729876750102242,-0.4344346989264914,0.4285583708324399,-0.4829980205011065,0.5416408982933304,0.07298767501022423,0.0729876750102242
sp,0.8594340221338876,-0.66907461769869,1.0,-0.12024156503143406,0.05422236812470585,0.01983187363506734,-0.008382530570650321,-0.05830093249985705,-0.12024156503143403,-0.12024156503143406
base_v,-0.14002007586274243,0.0729876750102242,-0.12024156503143406,1.0,0.05814197965719037,0.07504233884502268,-0.06983631475120898,-0.045427185417044526,1.0,1.0
choice_probs[0],-0.325840650592504,-0.4344346989264914,0.05422236812470585,0.05814197965719037,1.0,0.28787103484324944,-0.1909745798061082,-0.9780703552479442,0.058141979657190125,0.05814197965719037
choice_probs[1],-0.3564203813590847,0.4285583708324399,0.01983187363506734,0.07504233884502268,0.28787103484324944,0.9999999999999998,-0.9939981938715947,-0.08676524510995783,0.07504233884502277,0.07504233884502268
choice_probs[2],0.3377052051517644,-0.4829980205011065,-0.008382530570650321,-0.06983631475120898,-0.1909745798061082,-0.9939981938715946,0.9999999999999999,-0.014704394054756304,-0.06983631475120915,-0.06983631475120898
choice_probs[3],0.2564650050660841,0.5416408982933304,-0.05830093249985705,-0.04542718541704453,-0.9780703552479441,-0.08676524510995783,-0.014704394054756304,1.0,-0.04542718541704431,-0.04542718541704453
rt_alpha,-0.1400200758627421,0.07298767501022423,-0.12024156503143403,1.0,0.058141979657190125,0.07504233884502277,-0.06983631475120915,-0.04542718541704431,1.0,1.0
rt_beta,-0.14002007586274243,0.0729876750102242,-0.12024156503143406,1.0,0.05814197965719037,0.07504233884502268,-0.06983631475120898,-0.045427185417044526,1.0,1.0
