,db1,db2,sp,base_v,choice_probs[0],choice_probs[1],choice_probs[2],choice_probs[3],rt_alpha,rt_beta
db1,1.0,0.08213181354562833,0.36766955559697584,-0.0019430301722335452,-0.611444877270766,-0.5819925349470854,0.5567020529552158,0.6021141388776002,-0.0019430301722336077,-0.0019430301722335452
db2,0.08213181354562833,1.0,0.13928396642124033,-0.01470080454651283,-0.6486135419434228,0.617381438417666,-0.6444728414829517,0.6599625548816056,-0.014700804546512848,-0.01470080454651283
sp,0.3676695555969758,0.13928396642124033,0.9999999999999999,-0.0040720852228218005,0.00037685767855215454,0.02380466704196859,-0.02457995509514281,0.000789709898028634,-0.004072085222821755,-0.0040720852228218005
base_v,-0.0019430301722335455,-0.014700804546512831,-0.0040720852228218005,1.0,0.019680747495196473,-0.0074915322653549945,0.011680422797823296,-0.023078743746097218,1.0,1.0
choice_probs[0],-0.6114448772707661,-0.6486135419434227,0.00037685767855215454,0.019680747495196473,0.9999999999999999,0.008703823135809724,0.030623319984142253,-0.9988137741978322,0.01968074749519654,0.019680747495196473
choice_probs[1],-0.5819925349470854,0.617381438417666,0.02380466704196859,-0.007491532265354996,0.008703823135809724,1.0,-0.9980779961740496,0.006784546443068312,-0.007491532265355015,-0.007491532265354996
choice_probs[2],0.5567020529552158,-0.6444728414829517,-0.02457995509514281,0.011680422797823298,0.03062331998414225,-0.9980779961740496,1.0,-0.04825224909823261,0.01168042279782337,0.011680422797823298
choice_probs[3],0.6021141388776001,0.6599625548816055,0.000789709898028634,-0.023078743746097218,-0.9988137741978322,0.006784546443068312,-0.048252249098232614,1.0,-0.023078743746097287,-0.023078743746097218
rt_alpha,-0.0019430301722336081,-0.014700804546512848,-0.004072085222821755,1.0,0.019680747495196542,-0.007491532265355015,0.011680422797823367,-0.023078743746097287,1.0,1.0
rt_beta,-0.0019430301722335455,-0.014700804546512831,-0.0040720852228218005,1.0,0.019680747495196473,-0.0074915322653549945,0.011680422797823296,-0.023078743746097218,1.0,1.0
