,db1,db2,sp,base_v,choice_probs[0],choice_probs[1],choice_probs[2],choice_probs[3],rt_alpha,rt_beta
db1,1.0,0.4909897498832827,-0.5966718515215012,0.18651391077499727,-0.40747752702876555,-0.6170974980385268,0.687288652588601,0.37457755251912384,0.18651391077499743,0.18651391077499724
db2,0.49098974988328264,0.9999999999999998,-0.7628957602888935,0.16493136809225814,-0.17346707596828548,0.22922280563035735,-0.18960735374757406,0.18330244885346483,0.16493136809225864,0.1649313680922581
sp,-0.5966718515215012,-0.7628957602888935,1.0,-0.20852695594133197,-0.26137595704664063,0.22341171304899982,-0.17113815286211362,0.2758164601786986,-0.20852695594133178,-0.20852695594133194
base_v,0.1865139107749973,0.16493136809225814,-0.20852695594133197,1.0,0.003640216127467423,-0.09306310289219241,0.09100280568734838,-0.008695779877340049,1.0,0.9999999999999999
choice_probs[0],-0.4074775270287656,-0.17346707596828545,-0.2613759570466406,0.003640216127467423,0.9999999999999999,-0.027616266365554847,-0.17181819958548233,-0.9976847003320616,0.003640216127467429,0.003640216127467422
choice_probs[1],-0.6170974980385269,0.22922280563035738,0.22341171304899982,-0.0930631028921924,-0.027616266365554844,1.0,-0.9792751560027346,0.08101698673825869,-0.09306310289219234,-0.09306310289219238
choice_probs[2],0.6872886525886011,-0.1896073537475741,-0.17113815286211362,0.09100280568734838,-0.17181819958548233,-0.9792751560027346,1.0,0.11717375448000106,0.09100280568734824,0.09100280568734836
choice_probs[3],0.3745775525191239,0.18330244885346483,0.27581646017869865,-0.008695779877340049,-0.9976847003320616,0.08101698673825869,0.11717375448000106,1.0,-0.008695779877340055,-0.008695779877340047
rt_alpha,0.18651391077499743,0.16493136809225864,-0.2085269559413318,1.0,0.0036402161274674293,-0.09306310289219237,0.09100280568734825,-0.008695779877340055,0.9999999999999999,0.9999999999999999
rt_beta,0.18651391077499727,0.16493136809225814,-0.20852695594133192,0.9999999999999999,0.003640216127467422,-0.09306310289219238,0.09100280568734836,-0.008695779877340047,0.9999999999999999,0.9999999999999999
