parameter,standard_deviation
db1,0.06619778742940907
db2,0.0758723751890929
sp,0.4757951324015673
base_v,0.12214294044211316
choice_probs[0],0.01165578480685379
choice_probs[1],0.011660381038571343
choice_probs[2],0.011891787269122035
choice_probs[3],0.011359789366981937
rt_alpha,0.12214294044211318
rt_beta,0.12214294044211316
