"stim_condition","acc","Response","RT","participant","Subject","Correct","Stimulus","Chanel1","Chanel2"
1,1,"1","1.1509936999063939",31,31,1,1,0,0
1,0,"3","1.251060999929905",31,31,0,1,0,0
0,0,"1","0.9340542000718415",31,31,0,0,1,0
0,1,"0","0.6505879000760615",31,31,1,0,1,0
1,0,"3","1.2176721999421716",31,31,0,1,0,0
0,1,"0","1.0509017000440508",31,31,1,0,1,0
2,0,"3","1.4851644998416305",31,31,0,2,0,1
0,0,"1","1.0507187999319285",31,31,0,0,1,0
1,0,"2","1.13610910018906",31,31,0,1,0,0
0,0,"1","0.6840727999806404",31,31,0,0,1,0
3,1,"3","1.1862095999531448",31,31,1,3,1,1
1,0,"2","1.8349703999701887",31,31,0,1,0,0
1,0,"3","1.0674997998867184",31,31,0,1,0,0
2,0,"1","1.2513576000928879",31,31,0,2,0,1
3,0,"0","1.4847498999442905",31,31,0,3,1,1
3,1,"3","1.8513515000231564",31,31,1,3,1,1
2,0,"1","0.7673053999897093",31,31,0,2,0,1
3,0,"1","1.1341678998433053",31,31,0,3,1,1
1,0,"3","1.9512761000078171",31,31,0,1,0,0
3,1,"3","1.701062599895522",31,31,1,3,1,1
1,1,"1","1.7348158999811858",31,31,1,1,0,0
1,0,"3","1.367805700050667",31,31,0,1,0,0
2,0,"0","1.2842191001400352",31,31,0,2,0,1
1,1,"1","1.000910900067538",31,31,1,1,0,0
0,0,"3","0.8674666001461446",31,31,0,0,1,0
1,1,"1","1.0181257000658661",31,31,1,1,0,0
2,1,"2","1.4197225000243634",31,31,1,2,0,1
1,0,"0","1.0675737001001835",31,31,0,1,0,0
2,0,"1","0.9506435999646783",31,31,0,2,0,1
3,1,"3","0.9007730002049357",31,31,1,3,1,1
3,1,"3","1.5347688999027014",31,31,1,3,1,1
3,0,"2","0.7842640001326799",31,31,0,3,1,1
1,0,"2","1.184430900029838",31,31,0,1,0,0
1,0,"3","0.8508164999075234",31,31,0,1,0,0
0,0,"1","1.0507674999535084",31,31,0,0,1,0
0,1,"0","0.7006892000790685",31,31,1,0,1,0
2,0,"1","0.7170198999810964",31,31,0,2,0,1
3,0,"2","1.3174000999424607",31,31,0,3,1,1
2,0,"1","0.8338005000259727",31,31,0,2,0,1
3,0,"0","1.3679116000421345",31,31,0,3,1,1
0,1,"0","1.1509821000508964",31,31,1,0,1,0
3,1,"3","1.5679996001999825",31,31,1,3,1,1
0,1,"0","1.1509032999165356",31,31,1,0,1,0
3,0,"1","1.284694700036198",31,31,0,3,1,1
